失蹤人口統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：人
,總   計,,男,,女,,幼童,,,,"兒童
(含幼童)",,,,少年,,,,青年,,,,"成年
(含老人)",,,,老人,,,
,,,,,,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,
,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數
 福建省, 106, 96, 60, 51, 46, 45, -, -, -, -, 2, 2, -, -, 7, 7, 10, 10, 2, 1, 8, 6, 49, 41, 28, 29, 7, 7, 7, 8
 金門縣, 95, 86, 51, 44, 44, 42, -, -, -, -, 2, 2, -, -, 7, 7, 8, 8, 1, -, 8, 6, 41, 35, 28, 28, 6, 6, 7, 8
 連江縣, 11, 10, 9, 7, 2, 3, -, -, -, -, -, -, -, -, -, -, 2, 2, 1, 1, -, -, 8, 6, -, 1, 1, 1, -, -
106年1月," 1,973 "," 2,258 "," 1,032 "," 1,189 ", 941 ," 1,069 ", 12 , 15 , 12 , 15 , 37 , 40 , 22 , 23 , 169 , 185 , 236 , 303 , 89 , 107 , 131 , 138 , 737 , 857 , 552 , 605 , 222 , 265 , 126 , 144 
106年2月," 2,038 "," 2,075 "," 1,014 "," 1,091 "," 1,024 ", 984 , 19 , 19 , 18 , 17 , 35 , 42 , 30 , 29 , 166 , 161 , 280 , 248 , 129 , 128 , 150 , 126 , 684 , 760 , 564 , 581 , 182 , 216 , 108 , 111 
106年3月," 2,189 "," 2,332 "," 1,124 "," 1,202 "," 1,065 "," 1,130 ", 12 , 18 , 10 , 16 , 30 , 36 , 19 , 24 , 204 , 228 , 301 , 318 , 106 , 112 , 149 , 153 , 784 , 826 , 596 , 635 , 225 , 263 , 125 , 135 
106年4月," 2,178 "," 2,078 "," 1,079 "," 1,034 "," 1,099 "," 1,044 ", 17 , 12 , 8 , 13 , 33 , 31 , 20 , 24 , 224 , 205 , 302 , 274 , 99 , 97 , 141 , 146 , 723 , 701 , 636 , 600 , 201 , 202 , 130 , 133 
106年5月," 2,257 "," 2,216 "," 1,178 "," 1,125 "," 1,079 "," 1,091 ", 12 , 10 , 19 , 9 , 36 , 35 , 27 , 19 , 219 , 209 , 324 , 327 , 126 , 114 , 134 , 133 , 797 , 767 , 594 , 612 , 204 , 199 , 130 , 130 
106年6月," 2,136 "," 2,211 "," 1,100 "," 1,141 "," 1,036 "," 1,070 ", 27 , 26 , 14 , 13 , 45 , 41 , 20 , 17 , 206 , 207 , 276 , 309 , 102 , 112 , 131 , 137 , 747 , 781 , 609 , 607 , 205 , 237 , 130 , 127 
106年7月," 2,250 "," 2,198 "," 1,173 "," 1,132 "," 1,077 "," 1,066 ", 21 , 21 , 19 , 12 , 49 , 47 , 40 , 29 , 176 , 181 , 253 , 264 , 111 , 115 , 145 , 138 , 837 , 789 , 639 , 635 , 211 , 200 , 119 , 125 
106年8月," 2,430 "," 2,269 "," 1,221 "," 1,122 "," 1,209 "," 1,147 ", 19 , 12 , 18 , 12 , 45 , 35 , 31 , 25 , 200 , 201 , 307 , 297 , 116 , 103 , 161 , 144 , 860 , 783 , 710 , 681 , 249 , 219 , 126 , 123 
106年9月," 2,136 "," 2,182 "," 1,085 "," 1,085 "," 1,051 "," 1,097 ", 26 , 20 , 11 , 12 , 43 , 40 , 29 , 25 , 198 , 204 , 293 , 304 , 83 , 86 , 132 , 158 , 761 , 755 , 597 , 610 , 198 , 212 , 112 , 109 
106年10月," 2,171 "," 2,063 "," 1,115 "," 1,038 "," 1,056 "," 1,025 ", 20 , 14 , 18 , 15 , 40 , 33 , 27 , 29 , 232 , 214 , 305 , 273 , 96 , 78 , 130 , 131 , 747 , 713 , 594 , 592 , 211 , 187 , 123 , 119 
106年11月," 2,087 "," 2,136 "," 1,079 "," 1,118 "," 1,008 "," 1,018 ", 16 , 21 , 16 , 23 , 30 , 38 , 32 , 37 , 200 , 193 , 277 , 295 , 84 , 103 , 101 , 101 , 765 , 784 , 598 , 585 , 211 , 230 , 125 , 123 
106年12月," 1,947 "," 1,909 "," 1,051 "," 1,030 ", 896 , 879 , 10 , 10 , 13 , 7 , 30 , 28 , 23 , 15 , 183 , 184 , 267 , 252 , 89 , 80 , 107 , 93 , 749 , 738 , 499 , 519 , 220 , 219 , 110 , 121 
107年," 25,078"," 25,202"," 12,841"," 12,854"," 12,237"," 12,348", 232, 233, 183, 164, 465, 465, 320, 306," 2,210"," 2,221"," 3,149"," 3,161"," 1,250"," 1,246"," 1,564"," 1,622"," 8,916"," 8,922"," 7,204"," 7,259"," 2,518"," 2,539"," 1,673"," 1,648"
 新北市," 4,738"," 4,791"," 2,379"," 2,418"," 2,359"," 2,373", 46, 42, 46, 29, 99, 100, 82, 72, 461, 487, 683, 692, 218, 215, 275, 293," 1,601"," 1,616"," 1,319"," 1,316", 451, 472, 328, 325
 臺北市," 2,126"," 2,123"," 1,121"," 1,132"," 1,005", 991, 17, 18, 16, 16, 36, 37, 26, 24, 162, 167, 147, 160, 96, 94, 114, 117, 827, 834, 718, 690, 344, 349, 274, 261
 桃園市," 3,151"," 3,126"," 1,572"," 1,536"," 1,579"," 1,590", 26, 24, 23, 25, 66, 62, 38, 41, 393, 397, 532, 515, 146, 139, 217, 218, 967, 938, 792, 816, 229, 213, 161, 156
 臺中市," 3,045"," 3,150"," 1,595"," 1,642"," 1,450"," 1,508", 31, 43, 19, 19, 55, 66, 39, 40, 326, 317, 370, 376, 196, 206, 197, 215," 1,018"," 1,053", 844, 877, 287, 291, 187, 193
 臺南市," 1,667"," 1,718", 904, 907, 763, 811, 16, 15, 12, 11, 29, 28, 19, 19, 84, 84, 149, 157, 80, 83, 109, 111, 711, 712, 486, 524, 228, 229, 114, 115
 高雄市," 2,488"," 2,433"," 1,264"," 1,244"," 1,224"," 1,189", 16, 12, 17, 19, 31, 26, 29, 29, 172, 178, 269, 260, 122, 123, 178, 171, 939, 917, 748, 729, 274, 266, 175, 169
 臺灣省," 7,772"," 7,759"," 3,968"," 3,930"," 3,804"," 3,829", 80, 78, 50, 45, 148, 144, 86, 80, 604, 583, 990, 992, 389, 383, 467, 487," 2,827"," 2,820"," 2,261"," 2,270", 700, 715, 428, 423
 宜蘭縣, 535, 520, 272, 262, 263, 258, 2, 1, 2, 1, 6, 5, 6, 6, 58, 58, 71, 68, 22, 19, 22, 22, 186, 180, 164, 162, 49, 51, 25, 26
 新竹縣, 647, 594, 323, 304, 324, 290, 7, 6, 4, 5, 10, 10, 8, 7, 72, 64, 115, 112, 38, 34, 48, 38, 203, 196, 153, 133, 42, 36, 21, 17
 苗栗縣, 682, 689, 353, 349, 329, 340, 4, 4, 5, 5, 14, 14, 7, 6, 50, 48, 86, 86, 33, 36, 42, 45, 256, 251, 194, 203, 54, 52, 32, 34
 彰化縣," 1,214"," 1,231", 651, 654, 563, 577, 19, 19, 5, 5, 28, 28, 11, 11, 66, 62, 129, 129, 54, 56, 64, 72, 503, 508, 359, 365, 127, 137, 79, 74
 南投縣, 547, 532, 280, 268, 267, 264, 6, 4, 3, 3, 7, 5, 6, 5, 36, 38, 66, 65, 23, 23, 32, 34, 214, 202, 163, 160, 49, 46, 28, 27
 雲林縣, 645, 637, 340, 341, 305, 296, 8, 8, 6, 4, 11, 11, 8, 7, 33, 30, 49, 45, 34, 38, 37, 40, 262, 262, 211, 204, 72, 75, 44, 44
 嘉義縣, 508, 516, 265, 268, 243, 248, 4, 6, 1, -, 14, 17, 1, -, 35, 36, 43, 45, 29, 29, 32, 31, 187, 186, 167, 172, 57, 53, 38, 38
 屏東縣, 848, 863, 425, 432, 423, 431, 6, 9, 9, 5, 12, 15, 10, 7, 44, 42, 102, 97, 42, 37, 45, 56, 327, 338, 266, 271, 82, 85, 40, 38
 臺東縣, 360, 341, 171, 155, 189, 186, 4, 3, 5, 3, 9, 7, 8, 6, 22, 21, 48, 46, 14, 14, 34, 35, 126, 113, 99, 99, 31, 26, 17, 16
 花蓮縣, 499, 502, 260, 251, 239, 251, 7, 5, 2, 3, 12, 10, 5, 5, 58, 59, 73, 81, 24, 23, 27, 31, 166, 159, 134, 134, 36, 33, 20, 23
 澎湖縣, 70, 69, 38, 37, 32, 32, -, -, -, -, 2, 2, -, -, 5, 5, 7, 8, 1, 2, 4, 4, 30, 28, 21, 20, 9, 6, 5, 4
 基隆市, 474, 503, 247, 256, 227, 247, 6, 4, 2, 4, 12, 10, 7, 9, 67, 66, 85, 88, 28, 28, 27, 27, 140, 152, 108, 123, 22, 28, 22, 23
 新竹市, 524, 544, 232, 248, 292, 296, 5, 7, 5, 6, 6, 7, 8, 9, 39, 35, 85, 87, 29, 29, 39, 40, 158, 177, 160, 160, 44, 62, 41, 42
 嘉義市, 219, 218, 111, 105, 108, 113, 2, 2, 1, 1, 5, 3, 1, 2, 19, 19, 31, 35, 18, 15, 14, 12, 69, 68, 62, 64, 26, 25, 16, 17
 福建省, 91, 102, 38, 45, 53, 57, -, 1, -, -, 1, 2, 1, 1, 8, 8, 9, 9, 3, 3, 7, 10, 26, 32, 36, 37, 5, 4, 6, 6
 金門縣, 84, 95, 36, 44, 48, 51, -, 1, -, -, 1, 2, 1, 1, 8, 8, 8, 7, 2, 3, 7, 10, 25, 31, 32, 33, 4, 4, 5, 5
 連江縣, 7, 7, 2, 1, 5, 6, -, -, -, -, -, -, -, -, -, -, 1, 2, 1, -, -, -, 1, 1, 4, 4, 1, -, 1, 1
107年1月," 1,990 "," 2,031 ", 999 ," 1,038 ", 991 , 993 , 20 , 17 , 12 , 17 , 42 , 37 , 19 , 28 , 152 , 177 , 234 , 250 , 116 , 116 , 129 , 128 , 689 , 708 , 609 , 587 , 208 , 218 , 138 , 122 
107年2月," 1,741 "," 2,065 ", 913 ," 1,081 ", 828 , 984 , 13 , 14 , 6 , 7 , 25 , 30 , 13 , 17 , 125 , 140 , 185 , 229 , 95 , 112 , 102 , 126 , 668 , 799 , 528 , 612 , 208 , 280 , 123 , 136 
107年3月," 2,302 "," 2,252 "," 1,170 "," 1,153 "," 1,132 "," 1,099 ", 25 , 22 , 19 , 16 , 41 , 36 , 32 , 31 , 205 , 215 , 283 , 265 , 103 , 111 , 160 , 134 , 821 , 791 , 657 , 669 , 235 , 233 , 138 , 142 
107年4月," 2,184 "," 2,193 "," 1,116 "," 1,109 "," 1,068 "," 1,084 ", 15 , 15 , 21 , 10 , 39 , 38 , 34 , 20 , 190 , 177 , 249 , 258 , 106 , 106 , 140 , 141 , 781 , 788 , 645 , 665 , 243 , 232 , 146 , 141 
107年5月," 2,185 "," 2,239 "," 1,133 "," 1,132 "," 1,052 "," 1,107 ", 16 , 24 , 9 , 10 , 27 , 31 , 21 , 18 , 215 , 206 , 300 , 309 , 110 , 107 , 136 , 146 , 781 , 788 , 595 , 634 , 235 , 215 , 138 , 141 
107年6月," 2,086 "," 2,111 "," 1,039 "," 1,061 "," 1,047 "," 1,050 ", 19 , 26 , 14 , 8 , 41 , 47 , 22 , 19 , 196 , 208 , 273 , 283 , 96 , 103 , 131 , 153 , 706 , 703 , 621 , 595 , 194 , 188 , 152 , 144 
107年7月," 2,232 "," 2,178 "," 1,137 "," 1,074 "," 1,095 "," 1,104 ", 19 , 15 , 18 , 17 , 36 , 35 , 23 , 26 , 151 , 153 , 250 , 227 , 124 , 106 , 137 , 155 , 826 , 780 , 685 , 696 , 228 , 240 , 162 , 160 
107年8月," 2,116 "," 2,069 "," 1,103 "," 1,047 "," 1,013 "," 1,022 ", 25 , 23 , 28 , 19 , 47 , 43 , 42 , 30 , 172 , 165 , 258 , 275 , 101 , 114 , 139 , 157 , 783 , 725 , 574 , 560 , 205 , 189 , 127 , 120 
107年9月," 2,089 "," 1,973 "," 1,067 "," 1,001 "," 1,022 ", 972 , 19 , 19 , 15 , 16 , 38 , 43 , 35 , 32 , 196 , 175 , 287 , 267 , 85 , 85 , 128 , 125 , 748 , 698 , 572 , 548 , 171 , 171 , 122 , 125 
107年10月," 2,121 "," 2,125 "," 1,106 "," 1,115 "," 1,015 "," 1,010 ", 17 , 20 , 10 , 12 , 38 , 38 , 25 , 23 , 182 , 192 , 287 , 286 , 114 , 91 , 128 , 117 , 772 , 794 , 575 , 584 , 206 , 196 , 131 , 133 
107年11月," 1,989 "," 1,960 "," 1,010 ", 986 , 979 , 974 , 26 , 22 , 11 , 13 , 54 , 49 , 18 , 27 , 196 , 179 , 269 , 260 , 95 , 92 , 122 , 127 , 665 , 666 , 570 , 560 , 190 , 177 , 148 , 141 
107年12月," 2,043 "," 2,006 "," 1,048 "," 1,057 ", 995 , 949 , 18 , 16 , 20 , 19 , 37 , 38 , 36 , 35 , 230 , 234 , 274 , 252 , 105 , 103 , 112 , 113 , 676 , 682 , 573 , 549 , 195 , 200 , 148 , 143 
108年," 25,759"," 25,842"," 13,415"," 13,280"," 12,344"," 12,562", 161, 181, 171, 175, 419, 441, 342, 353," 2,281"," 2,305"," 3,396"," 3,411"," 1,352"," 1,372"," 1,567"," 1,609"," 9,363"," 9,162"," 7,039"," 7,189"," 2,655"," 2,601"," 1,680"," 1,672"
 新北市," 5,093"," 5,068"," 2,679"," 2,606"," 2,414"," 2,462", 24, 30, 25, 38, 83, 89, 48, 65, 583, 581, 800, 800, 253, 260, 275, 288," 1,760"," 1,676"," 1,291"," 1,309", 507, 494, 333, 339
 臺北市," 2,235"," 2,159"," 1,210"," 1,147"," 1,025"," 1,012", 14, 13, 13, 13, 37, 35, 34, 37, 154, 146, 186, 183, 101, 105, 92, 90, 918, 861, 713, 702, 360, 332, 273, 265
 桃園市," 3,222"," 3,257"," 1,641"," 1,636"," 1,581"," 1,621", 17, 21, 14, 14, 64, 71, 39, 39, 428, 433, 633, 636, 187, 192, 208, 215, 962, 940, 701, 731, 238, 220, 144, 138
 臺中市," 2,959"," 3,024"," 1,532"," 1,557"," 1,427"," 1,467", 17, 19, 16, 15, 42, 44, 46, 44, 261, 269, 376, 382, 202, 204, 179, 186," 1,027"," 1,040", 826, 855, 281, 295, 169, 168
 臺南市," 1,725"," 1,706", 937, 948, 788, 758, 20, 19, 20, 21, 39, 38, 31, 31, 82, 83, 139, 133, 69, 69, 119, 114, 747, 758, 499, 480, 223, 227, 134, 135
 高雄市," 2,570"," 2,562"," 1,360"," 1,322"," 1,210"," 1,240", 13, 16, 26, 24, 35, 38, 42, 42, 188, 182, 266, 281, 114, 112, 151, 159," 1,023", 990, 751, 758, 313, 313, 190, 190
 臺灣省," 7,844"," 7,969"," 3,998"," 4,015"," 3,846"," 3,954", 53, 61, 56, 50, 116, 124, 101, 95, 578, 605, 991, 991, 421, 425, 537, 552," 2,883"," 2,861"," 2,217"," 2,316", 720, 708, 429, 429
 宜蘭縣, 582, 564, 302, 277, 280, 287, 5, 5, 3, 4, 8, 7, 9, 8, 43, 40, 89, 91, 26, 25, 35, 33, 225, 205, 147, 155, 59, 53, 23, 23
 新竹縣, 678, 655, 328, 321, 350, 334, 6, 7, 6, 4, 12, 13, 7, 5, 58, 62, 102, 95, 46, 45, 38, 44, 212, 201, 203, 190, 36, 36, 24, 20
 苗栗縣, 609, 634, 322, 331, 287, 303, 2, 2, 1, 1, 10, 10, 5, 6, 43, 48, 98, 96, 38, 39, 47, 46, 231, 234, 137, 155, 54, 55, 21, 21
 彰化縣," 1,219"," 1,243", 646, 649, 573, 594, 9, 8, 8, 7, 16, 14, 12, 11, 79, 81, 120, 118, 58, 57, 70, 71, 493, 497, 371, 394, 135, 130, 79, 82
 南投縣, 588, 611, 317, 323, 271, 288, 2, 3, 4, 4, 9, 10, 7, 8, 60, 63, 71, 72, 29, 26, 40, 46, 219, 224, 153, 162, 43, 42, 28, 29
 雲林縣, 693, 714, 341, 350, 352, 364, 2, 4, 3, 3, 5, 7, 8, 7, 24, 26, 67, 71, 33, 33, 49, 49, 279, 284, 228, 237, 80, 76, 58, 56
 嘉義縣, 507, 528, 260, 263, 247, 265, 4, 4, 3, 4, 10, 10, 3, 4, 27, 29, 33, 37, 26, 30, 41, 35, 197, 194, 170, 189, 44, 45, 33, 33
 屏東縣, 809, 864, 398, 419, 411, 445, 6, 6, 5, 5, 13, 13, 9, 9, 42, 50, 98, 105, 34, 39, 61, 68, 309, 317, 243, 263, 84, 88, 49, 50
 臺東縣, 337, 335, 166, 161, 171, 174, 4, 5, 4, 3, 5, 6, 4, 3, 24, 27, 45, 47, 17, 17, 31, 32, 120, 111, 91, 92, 33, 24, 20, 22
 花蓮縣, 551, 551, 264, 273, 287, 278, 2, 5, 7, 4, 9, 11, 14, 12, 69, 70, 97, 91, 39, 35, 37, 41, 147, 157, 139, 134, 39, 48, 24, 21
 澎湖縣, 81, 80, 43, 42, 38, 38, -, -, -, -, -, -, 1, 1, 2, 2, 8, 6, 8, 8, 12, 12, 33, 32, 17, 19, 9, 9, 2, 3
 基隆市, 461, 457, 245, 236, 216, 221, 4, 6, 7, 7, 5, 7, 8, 8, 52, 51, 65, 68, 29, 30, 28, 29, 159, 148, 115, 116, 45, 42, 21, 20
 新竹市, 491, 499, 245, 249, 246, 250, 6, 5, 3, 3, 11, 11, 10, 10, 44, 47, 72, 71, 20, 23, 30, 30, 170, 168, 134, 139, 34, 36, 34, 36
 嘉義市, 238, 234, 121, 121, 117, 113, 1, 1, 2, 1, 3, 5, 4, 3, 11, 9, 26, 23, 18, 18, 18, 16, 89, 89, 69, 71, 25, 24, 13, 13
 福建省, 111, 97, 58, 49, 53, 48, 3, 2, 1, -, 3, 2, 1, -, 7, 6, 5, 5, 5, 5, 6, 5, 43, 36, 41, 38, 13, 12, 8, 8
 金門縣, 104, 90, 54, 44, 50, 46, 3, 2, 1, -, 3, 2, 1, -, 7, 6, 5, 5, 5, 4, 5, 5, 39, 32, 39, 36, 12, 11, 8, 8
 連江縣, 7, 7, 4, 5, 3, 2, -, -, -, -, -, -, -, -, -, -, -, -, -, 1, 1, -, 4, 4, 2, 2, 1, 1, -, -
108年1月," 2,095 "," 2,305 "," 1,082 "," 1,176 "," 1,013 "," 1,129 ", 8 , 12 , 11 , 15 , 24 , 30 , 23 , 32 , 172 , 212 , 236 , 284 , 116 , 119 , 143 , 144 , 770 , 815 , 611 , 669 , 228 , 252 , 157 , 154 
108年2月," 2,083 "," 2,107 "," 1,063 "," 1,057 "," 1,020 "," 1,050 ", 11 , 18 , 12 , 14 , 35 , 39 , 23 , 24 , 157 , 155 , 273 , 262 , 123 , 116 , 133 , 155 , 748 , 747 , 591 , 609 , 231 , 231 , 142 , 145 
108年3月," 2,252 "," 2,260 "," 1,193 "," 1,202 "," 1,059 "," 1,058 ", 13 , 16 , 25 , 17 , 33 , 37 , 39 , 27 , 248 , 249 , 257 , 272 , 132 , 134 , 137 , 139 , 780 , 782 , 626 , 620 , 200 , 204 , 131 , 131 
108年4月," 2,188 "," 2,167 "," 1,163 "," 1,116 "," 1,025 "," 1,051 ", 15 , 15 , 13 , 16 , 45 , 42 , 27 , 33 , 245 , 221 , 303 , 293 , 113 , 107 , 132 , 129 , 760 , 746 , 563 , 596 , 221 , 222 , 146 , 150 
108年5月," 2,267 "," 2,221 "," 1,220 "," 1,177 "," 1,047 "," 1,044 ", 12 , 11 , 12 , 13 , 32 , 32 , 22 , 22 , 212 , 215 , 293 , 298 , 123 , 130 , 125 , 128 , 853 , 800 , 607 , 596 , 244 , 229 , 145 , 144 
108年6月," 2,187 "," 2,191 "," 1,130 "," 1,123 "," 1,057 "," 1,068 ", 12 , 13 , 12 , 14 , 29 , 32 , 29 , 32 , 182 , 184 , 296 , 308 , 130 , 134 , 150 , 141 , 789 , 773 , 582 , 587 , 250 , 238 , 129 , 115 
108年7月," 2,143 "," 2,193 "," 1,117 "," 1,139 "," 1,026 "," 1,054 ", 16 , 19 , 16 , 17 , 41 , 41 , 28 , 29 , 164 , 187 , 254 , 272 , 106 , 104 , 127 , 134 , 806 , 807 , 617 , 619 , 212 , 203 , 138 , 147 
108年8月," 2,107 "," 2,116 "," 1,099 "," 1,088 "," 1,008 "," 1,028 ", 18 , 18 , 7 , 10 , 39 , 40 , 19 , 25 , 164 , 167 , 261 , 250 , 122 , 123 , 137 , 141 , 774 , 758 , 591 , 612 , 211 , 190 , 139 , 138 
108年9月," 2,173 "," 2,086 "," 1,078 "," 1,013 "," 1,095 "," 1,073 ", 20 , 17 , 17 , 14 , 39 , 37 , 31 , 25 , 179 , 167 , 305 , 277 , 109 , 105 , 145 , 147 , 751 , 704 , 614 , 624 , 193 , 188 , 132 , 136 
108年10月," 2,295 "," 2,324 "," 1,183 "," 1,185 "," 1,112 "," 1,139 ", 11 , 15 , 21 , 17 , 44 , 46 , 45 , 44 , 205 , 200 , 339 , 336 , 104 , 111 , 141 , 142 , 830 , 828 , 587 , 617 , 220 , 216 , 153 , 149 
108年11月," 2,012 "," 1,908 "," 1,025 ", 964 , 987 , 944 , 13 , 13 , 13 , 11 , 30 , 34 , 30 , 25 , 162 , 173 , 289 , 275 , 94 , 96 , 109 , 117 , 739 , 661 , 559 , 527 , 207 , 192 , 153 , 140 
108年12月," 1,957 "," 1,964 "," 1,062 "," 1,040 ", 895 , 924 , 12 , 14 , 12 , 17 , 28 , 31 , 26 , 35 , 191 , 175 , 290 , 284 , 80 , 93 , 88 , 92 , 763 , 741 , 491 , 513 , 238 , 236 , 115 , 123 
109年," 25,077"," 26,229"," 13,079"," 13,669"," 11,998"," 12,560", 170, 197, 157, 172, 372, 406, 287, 317," 2,281"," 2,335"," 3,391"," 3,531"," 1,355"," 1,365"," 1,500"," 1,580"," 9,071"," 9,563"," 6,820"," 7,132"," 2,805"," 3,014"," 1,786"," 1,806"
 新北市," 4,658"," 4,789"," 2,416"," 2,499"," 2,242"," 2,290", 28, 28, 33, 31, 61, 63, 72, 70, 483, 483, 676, 708, 273, 272, 280, 277," 1,599"," 1,681"," 1,214"," 1,235", 511, 550, 348, 340
 臺北市," 2,181"," 2,235"," 1,263"," 1,293", 918, 942, 15, 14, 7, 7, 34, 32, 16, 14, 168, 179, 176, 175, 111, 104, 101, 98, 950, 978, 625, 655, 443, 498, 256, 264
 桃園市," 3,196"," 3,272"," 1,624"," 1,665"," 1,572"," 1,607", 31, 34, 19, 18, 73, 77, 34, 34, 424, 434, 594, 612, 178, 178, 188, 206, 949, 976, 756, 755, 239, 246, 155, 150
 臺中市," 3,055"," 3,089"," 1,563"," 1,591"," 1,492"," 1,498", 24, 27, 20, 19, 52, 57, 36, 35, 268, 275, 420, 428, 192, 188, 181, 181," 1,051"," 1,071", 855, 854, 320, 321, 240, 238
 臺南市," 1,667"," 1,704", 896, 894, 771, 810, 8, 12, 3, 5, 20, 23, 4, 6, 124, 120, 160, 166, 86, 81, 116, 121, 666, 670, 491, 517, 224, 226, 118, 116
 高雄市," 2,562"," 2,624"," 1,348"," 1,370"," 1,214"," 1,254", 12, 16, 20, 19, 34, 40, 34, 36, 185, 186, 334, 335, 117, 121, 139, 146," 1,012"," 1,023", 707, 737, 300, 292, 195, 202
 臺灣省," 7,679"," 8,424"," 3,918"," 4,296"," 3,761"," 4,128", 52, 66, 55, 72, 98, 114, 91, 121, 624, 652," 1,024"," 1,099", 393, 415, 494, 549," 2,803"," 3,115"," 2,152"," 2,359", 755, 866, 468, 491
 宜蘭縣, 524, 549, 264, 275, 260, 274, 5, 5, 3, 2, 9, 9, 6, 7, 44, 46, 65, 71, 23, 24, 37, 40, 188, 196, 152, 156, 58, 58, 31, 31
 新竹縣, 611, 756, 315, 411, 296, 345, 4, 7, 9, 10, 7, 11, 13, 17, 57, 69, 106, 117, 40, 44, 34, 40, 211, 287, 143, 171, 47, 74, 24, 26
 苗栗縣, 703, 755, 349, 382, 354, 373, 2, 4, -, 1, 7, 9, 3, 4, 53, 55, 132, 139, 41, 41, 39, 38, 248, 277, 180, 192, 60, 72, 31, 37
 彰化縣," 1,133"," 1,298", 615, 688, 518, 610, 6, 8, 7, 10, 11, 16, 10, 13, 90, 90, 95, 112, 59, 66, 77, 95, 455, 516, 336, 390, 125, 143, 66, 67
 南投縣, 555, 548, 280, 279, 275, 269, 7, 6, 5, 4, 8, 6, 8, 7, 44, 50, 60, 61, 34, 36, 41, 41, 194, 187, 166, 160, 49, 51, 38, 39
 雲林縣, 614, 726, 326, 376, 288, 350, 6, 9, 5, 8, 7, 10, 8, 12, 25, 28, 46, 49, 24, 27, 44, 51, 270, 311, 190, 238, 81, 90, 42, 45
 嘉義縣, 515, 520, 274, 272, 241, 248, 3, 3, 6, 6, 6, 5, 9, 10, 49, 48, 42, 42, 14, 15, 31, 35, 205, 204, 159, 161, 52, 54, 46, 45
 屏東縣, 866, 891, 439, 429, 427, 462, 6, 6, 7, 10, 10, 9, 12, 16, 51, 50, 105, 114, 55, 53, 52, 53, 323, 317, 258, 279, 84, 91, 62, 63
 臺東縣, 332, 340, 176, 172, 156, 168, 3, 3, 6, 7, 7, 7, 7, 8, 34, 33, 48, 51, 15, 13, 15, 20, 120, 119, 86, 89, 34, 28, 17, 16
 花蓮縣, 588, 762, 277, 383, 311, 379, 2, 8, 1, 7, 9, 16, 3, 13, 57, 57, 117, 130, 27, 37, 48, 54, 184, 273, 143, 182, 49, 78, 30, 38
 澎湖縣, 56, 58, 25, 28, 31, 30, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 6, 7, 2, 2, 3, 3, 20, 23, 20, 18, 8, 9, 5, 5
 基隆市, 518, 512, 262, 254, 256, 258, 5, 4, 1, 1, 8, 7, 4, 5, 66, 69, 86, 85, 30, 29, 33, 34, 158, 149, 133, 134, 41, 39, 34, 35
 新竹市, 453, 486, 217, 241, 236, 245, 1, 1, 3, 4, 7, 7, 5, 6, 39, 40, 85, 88, 19, 19, 23, 25, 152, 175, 123, 126, 42, 49, 28, 29
 嘉義市, 211, 223, 99, 106, 112, 117, 1, 1, -, -, 1, 1, 1, 1, 13, 15, 31, 33, 10, 9, 17, 20, 75, 81, 63, 63, 25, 30, 14, 15
 福建省, 79, 92, 51, 61, 28, 31, -, -, -, 1, -, -, -, 1, 5, 6, 7, 8, 5, 6, 1, 2, 41, 49, 20, 20, 13, 15, 6, 5
 金門縣, 72, 82, 46, 55, 26, 27, -, -, -, 1, -, -, -, 1, 4, 5, 6, 7, 5, 6, 1, 1, 37, 44, 19, 18, 13, 15, 6, 5
 連江縣, 7, 10, 5, 6, 2, 4, -, -, -, -, -, -, -, -, 1, 1, 1, 1, -, -, -, 1, 4, 5, 1, 2, -, -, -, -
109年1月," 2,068 "," 2,238 "," 1,069 "," 1,171 ", 999 ," 1,067 ", 19 , 19 , 14 , 13 , 35 , 31 , 22 , 22 , 145 , 160 , 254 , 276 , 99 , 104 , 136 , 141 , 790 , 876 , 587 , 628 , 270 , 314 , 162 , 159 
109年2月," 1,939 "," 2,037 "," 1,046 "," 1,057 ", 893 , 980 , 8 , 9 , 15 , 16 , 18 , 21 , 26 , 24 , 150 , 144 , 230 , 257 , 94 , 96 , 125 , 146 , 784 , 796 , 512 , 553 , 268 , 248 , 127 , 132 
109年3月," 2,111 "," 2,153 "," 1,087 "," 1,141 "," 1,024 "," 1,012 ", 17 , 13 , 9 , 7 , 38 , 37 , 16 , 18 , 191 , 191 , 341 , 327 , 101 , 93 , 120 , 120 , 757 , 820 , 547 , 547 , 212 , 244 , 134 , 134 
109年4月," 1,920 "," 2,038 "," 1,006 "," 1,051 ", 914 , 987 , 11 , 10 , 12 , 14 , 18 , 14 , 24 , 24 , 193 , 192 , 301 , 329 , 110 , 105 , 111 , 113 , 685 , 740 , 478 , 521 , 201 , 211 , 123 , 126 
